"HelpfulYes","ProductID","Rating","ReviewID","ReviewText","ReviewTime","ReviewerName","Sentiment","SentimentScore_Mixed","SentimentScore_Negative","SentimentScore_Neutral","SentimentScore_Positive","Summary","TotalVote","UnixReviewTime"
"0","F007WTAJTQ","5","A3UR2N0ATGBCU8","plug in to the phone shows up sd cardbut didnt give me the option to formatplug in to the laptopsame thing. Thought it was DOA. But later realized that I had to format the card from the flip down menu. Now it works Perfect. Was going to look for a Gen4 64gb ipod touch$350 vs $55 makes no sense. Plus The Galaxy S2 T727 works just fine as a media player.","10-04-2012","X. Chen","MIXED","0.6504285931587219","0.03012995794415474","0.0049929190427064896","0.3144485652446747","Works Great on my Galaxy S2 T727","0","1349308800"
"0","C007WTAJTP","5","A10WTI6XS1CX37","Really helpful I needed to backup some photos and there was plenty of space left","07-11-2014","Zahid","POSITIVE","0.00010790138185257092","0.0005002351826988161","0.0009357770904898643","0.9984560012817383","32G","0","1405036800"
"0","C007WTAJTP","5","A2KN55YK5O1HZO","I got this to add some room on my Samsung Galaxy S3. It works great. I do not have any complaints.","29-04-2013","sadpony","POSITIVE","0.00032080517848953605","6.639087223447859e-05","0.0012591495178639889","0.9983537197113037","Works with Phone","0","1367193600"
"0","B007WTAJTO","5","A3SPRSLV03DT6Y","The Size of a Finger Nail ! The little too easy to lose 64GB Card Plugged in so Easy ! So Quick ! In the Samsung Galaxy Note 10.1 ! With Out the Adapter ! Did it Help ? Still Too New at This ! Only Required 32GB ! Overkill ? Price too Close not to get IT ! Hope that it Helps ! Galaxy Note Phone is supposed to use IT ! Thanks Amazon ! Oh ! This is so Tiny ! Keep it in the Package ! Until You Need IT ! And Keep that Package some place where it cant be LOST ! IT is just Too Cute ! Thanks Again ! Cute ! Cute ! Cute !","18-12-2012","t49y","MIXED","0.519842803478241","0.2228347808122635","0.0006642916705459356","0.25665807723999023","Too Cute !","1","1355788800"
"0","E007WTAJTS","5","A194Y47BF3CUTJ","Comes with a lifetime warranty.  Had one fail oncesent it back to SanDiskthey sent me a new one!I have been using SanDisk for years.  That was the only time one ever failed!!!","23-11-2013","Hamza","POSITIVE","0.05683091655373573","0.025928214192390442","0.0018340969691053033","0.9154067635536194","Perfect","0","1385164800"
"0","F007WTAJTQ","4","A3TG01YS74D3OM","i just had an incident with my Galaxy S3 phone however where the chip became corrupt.. Is it the chip? Is it the phone?  I put one of these in my Samsung phone and another in my Samsung Tablet.  All is well except for that one time where the chip and phone got funny with each other and I had to erase all my music... The phone was able to format / erase / prepare the chip so it was immediately usable but I did lose my music.  Very weird.  Wellall I have to do is sync my music to my phone.. No big deal..","02-07-2013","papatech c.p.","MIXED","0.8908620476722717","0.06565231084823608","0.0030838893726468086","0.040401700884103775","its a fine little chip.. maybe I got a bad one though???","0","1360195200"
"0","B007WTAJTO","5","A3LT90XMQ0ZJM7","great memory card.  i have trusted sandisk since it came out with memory products.  they work harder to keep innovating.","30-07-2013","Tamara Ching","POSITIVE","0.004273538943380117","0.0023003576789051294","0.0010121491504833102","0.9924140572547913","sandisk is the ultimate best","0","1375142400"
"0","F007WTAJTQ","5","A23PONDBFUYXY0","Installed this card in my wifes cel phone.  I would have gone bigger butthats as big as her phone would take.","02-06-2014","Mack","NEUTRAL","0.2892985939979553","0.2706837058067322","0.3101966083049774","0.1298210471868515","Excellent Transaction.","0","1391644800"
"0","F007WTAJTQ","5","A24IZ2L7W5L284","I bought the memory to my lumia 620 and it works. Its really faster than my previous microsd (Class 4). No complaintsim very happy with my purchase.","22-05-2014","Octavio Barreto","POSITIVE","6.155874143587425e-05","7.024084334261715e-05","0.00032513434416614473","0.9995431900024414","A fast memory","0","1400716800"
"0","F007WTAJTQ","5","AO68WBQPG1ZH9","Great price for a great product works great in my new Samsung Galaxy 4 why anyone [pays full price at the cell provider is beyond me! Keep up the good work Amazon love you guys!!","17-07-2013","tam60","POSITIVE","0.0037772338837385178","0.0015883642481639981","0.00031434319680556655","0.9943200349807739","SanDisk 32 GB Memory Card","0","1374019200"
"0","E007WTAJTS","5","A3O3D00K1O04ZS","I bought this for my Sony Action Camit gives me more than 8 hours of video using 1080 with 30 fps.","31-07-2013","Iceman","POSITIVE","6.633602606598288e-05","0.040846604853868484","0.046748168766498566","0.91233891248703","8 hours of video!!","0","1375228800"
"0","F007WTAJTQ","5","A2T5P0O707ESH6","Bypass the &#34;cheaper&#34; clones and get SanDisk. Your  data is wprth much more than the little that you &#34;save&#34; using the cheap imitations. Trust meI just found that out for myself.","07-05-2014","PapaG","NEGATIVE","0.04371721297502518","0.8063127994537354","0.02440289966762066","0.12556709349155426","Bypass the cheaper clones and get SanDisk. Your data ...","0","1404518400"
"0","E007WTAJTS","1","A3OZA8HNJM26DC","Major issuesbought FROM san disk but only worked brieflynow when I try to reformat it reports itself as a 30 meg removeable drive in both windows and macos--not sure if its defective or a mislabeled one--but got direct from amazon so just very disapointed. Will stick with transcend from now on I think.","23-11-2013","Hamlet423","NEGATIVE","0.007423808798193932","0.9913778305053711","0.00067779456730932","0.0005205977940931916","may not workmay report wrong sizemay be out of luck","0","1385164800"
"0","D007WTAJTR","5","A3C9SYXO9UQ9VI","bought for garmin gps. works very well. also has adapter for sdhc size memory card to plug into reader if you dont have a micro card reader","02-09-2014","wayne","POSITIVE","0.0004705794563051313","8.439471275778487e-05","0.0030026244930922985","0.9964424967765808","SanDisk Ultra 16 GB MicroSDHC Class 10 UHS-1 Memory Card","0","1391904000"
"0","C007WTAJTP","1","A3H0SMLV116RAW","I bought this on black friday last year and took a chance on it. What chance u say? I read some reviews that this card just actually STOPPED working for no reason and not due to abuse or misuse. I had this card in my Acer Iconia A500 and it just STOPPED WORKING! Even my computer doesnt recognize it. WTF Sandisk?? This is an expensive part for this to occur. DO NOT BUY OR IF U DOBE CAREFUL WHAT U STORE ON IT! I only had music and movies on mine so NBD. But what if u had this in your phone with valuable pictures?","19-09-2013","R1Jay","NEGATIVE","0.0016739226412028074","0.9652770757675171","0.0004793184343725443","0.03256974741816521","WHY????","1","1379548800"
"0","B007WTAJTO","5","A243XIFG20QRQW","San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.","23-03-2014","Aaron Nash","POSITIVE","0.2528987228870392","0.012146452441811562","0.00046983661013655365","0.7344849705696106","Perfect","0","1395532800"
"0","F007WTAJTQ","5","A3EPL2JV2T11OX","La uso sul mio samsung galaxy tab 2 7 e va benissimoraramente non la riconoscema basta estrarla rimetterla e tutto va a postose fosse spesso sarebbe un problemama ripeto succede raramente perci&ograve; consigliata!!!","02-06-2013","paolo","MIXED","0.6428224444389343","0.016584336757659912","0.0005610620719380677","0.34003207087516785","gooooooooood!","1","1360108800"
"0","C007WTAJTP","5","A27L7AGGGEUASX","buy this one. it was inserted in my galaxy note 2and also my asus transformer infinity. i bought 2 of these cards. i will buy it again if i need to. its easy to installjust pop it in and your device reads it. its that simple!","05-08-2013","bandana","POSITIVE","3.237709097447805e-05","7.449583063134924e-05","0.0002851172466762364","0.9996080994606018","storage","0","1367971200"
"0","B007WTAJTO","5","A2ELBSIZ26GKM2","This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.","01-07-2014","Aaron","POSITIVE","0.002181944204494357","0.0068104201927781105","0.04454205185174942","0.9464656114578247","works","0","1389052800"
"0","C007WTAJTP","5","A1GWL4XS2ZXGG8","Fast little memory card. Affordablegood quality. Will be quadrupling my storage space on my device. I never seem to have enough of these","23-11-2013","Calenture","POSITIVE","0.0010640132240951061","0.0008227755897678435","0.0001748942449921742","0.997938334941864","speedy card","0","1385164800"
"0","D007WTAJTR","5","A2JFRH4RUR7ZB9","I got this for my new Microsoft Surface Projust in case I needed more room. It comes with a adapter if needed and works great for more storage room.","30-03-2013","xcgfatboy","POSITIVE","0.018273619934916496","0.0003899171424563974","0.007021207362413406","0.9743152856826782","Small but BIG","0","1364601600"
"0","D007WTAJTR","5","AA95DWUI3ODU","Works very well with my new Tab Pro 8.4&#34;.  Have been able to download lots of content from YouTube to watch on long flights. Will use it on any device that takes sd cards.  Very happy with it.","25-05-2014","E.Barroso","POSITIVE","3.3183143386850134e-05","3.3906300814123824e-05","0.0003443057357799262","0.9995885491371155","Excellent.","0","1400976000"
"0","F007WTAJTQ","5","AI82G1NQHKXGW","This chip replaces my previously fried out offbrand microSD.  So far it has performed flawlessly.  If it failsI will update the review.  I have a Droid RAZR M smartphone.","29-01-2014","mac TehAsian","POSITIVE","0.003461600048467517","0.000812685873825103","0.00713767483830452","0.9885879755020142","Works nice","0","1390953600"
"0","D007WTAJTR","5","A28621TSIR5EOG","Have more than one of these MicroSDHC disks and they hold up in my MP3 playersphonerecorder camera etc.","17-12-2013","Walk Around Osprey","POSITIVE","0.0001245260937139392","0.000818501750472933","0.06691093742847443","0.9321460723876953","SanDisk Ultra 32 GB MicroSDHC C10/UHS1 Memory Card","0","1387238400"
"0","B007WTAJTO","5","A2WN0OAALLRM7A","this is my 10th SDHC card.  I bought Sandisk only. good qualitygood brand. recommend to friends. used in Galaxy Note 10.1","28-10-2013","Tamaz","POSITIVE","9.961498108168598e-06","9.942473116097972e-05","0.0014566130703315139","0.9984340071678162","Sandisk is SANDISK always","0","1382918400"
"0","B007WTAJTO","5","A2CNG9TRZVRV5O","This microSDHC card makes its job pretty well. It is fast enough to rely your data on any mobile device. Havent had any complaints so far.","09-02-2013","MAC","POSITIVE","2.8664793717325665e-05","3.7458921724464744e-05","0.0006147468229755759","0.9993191957473755","Does its job for a good price","0","1378080000"
"0","E007WTAJTS","5","AYYZH8KL2Y6D3","Made the mistake of leaving it in the car when I had a flat and had to buy 4 new tires. Went missing at the dealership so I never got to use it.","03-06-2013","Kamal O Rowe","NEGATIVE","0.019608547911047935","0.9730245471000671","0.005041169933974743","0.0023258028086274862","Looked great.","1","1362528000"
"0","C007WTAJTP","4","A3LTWJZ779E29","My fiance has had this in his tablet for almost a year now without a single issue. I feel that its one of the best quality memory cards weve ever had. Make SURE you get the retail packaging and not the &#34;frustration-free.&#34; The retail packaging only requires one quick clip of the scissors and its worth it to get one that is sealed in a package and not at risk to be damaged.","24-08-2013","Rachel Beckwith","POSITIVE","0.0013818689621984959","0.0003392223734408617","0.0004426273226272315","0.9978362917900085","High Quality","0","1377302400"
"0","E007WTAJTS","5","AAKMPJXPX22Y4","Works Ultra great. No complaints. I got the retail package.","07-07-2014","Gaby","POSITIVE","1.8131884644390084e-05","2.5275287043768913e-05","0.0005377274355851114","0.9994188547134399","Ultimately Ultra","0","1404691200"
"0","F007WTAJTQ","5","A24YWDYFTI2NOC","Bought this to go with my Samsung Galaxy S III. It is class 10 which means it is fast. Works well.","25-01-2013","N8","POSITIVE","5.889742897124961e-05","5.653894186252728e-05","0.002883512293919921","0.9970009922981262","Nice price","0","1359072000"
"0","D007WTAJTR","5","A26SQ0G735KJK8","I big problem I have been having lately is finding a trustworthy source for SD cards. They are manufactured in China and these rip off companies are selling fake cards at a competitive pricebut dont be fooled. If the price seems unbelievable that is because you will end up with a card that is not only less capacity then you are paying forbut a lower class and sometimes a faulty card altogether.When it comes to storagepay the extra cash to get something reliable. Like this SanDisk Ultra 64 GB SDXC Class 10 memory card. It is blazaing fast and works well in my HTC EVO LTE Android phone.Side note: This card brings my total phone storage capacity to 158 GB. That is 158 GB that I have full access to. 85 GB of which is synced to the cloud.","03-09-2013","Eckzsell","MIXED","0.5696385502815247","0.14215967059135437","0.011505653150379658","0.2766961455345154","True to class","0","1362787200"
"1","C007WTAJTP","5","A2EG3ZPSDXOBLU","see  I own an HTC HD2 with cyanogen Android Rom on it I wanted maximum memory capacity for various storage needs including shooting HQ videos   I used to have a patriot 32GB Class 10 on it but the performance wasnt up to my expectations    this badboy right here peroformed like a champ on my smartphone   Alert : IT WORKS ON HTC HD2     once I popped this card on my laptop to transfer my data on it  I got no less than 14MB\S write speed which is above the specs of the this card   Apps access in FAAAST   so far Im pleased with it   Ill update this after a While when I use it intensively    well done SanDisk    ","24-07-2012","Wael","NEGATIVE","0.20968510210514069","0.6668272614479065","0.007964814081788063","0.11552287638187408","Well Done Product     ","1","1343088000"
"0","E007WTAJTS","5","A3GL6RCS9PP2Y3","The recent map update on my Garmin GPS ran it out of memory.  Maps are getting more and more detailed.  I used this to up the memory and got back to the Full North America Map. It cam with the adapter to fit my PC SD slot too.","20-02-2013","Jack in TN","MIXED","0.41752198338508606","0.3661883473396301","0.08159855008125305","0.13469111919403076","Great for my Garmin GPS","0","1361318400"
"2","F007WTAJTQ","5","A2I4UIXT2PGSAS","If there is anyone out there curious if this works on Garmins GPSMAP line of handheldsthen yes! All 32GBs are recognizedand I am maxing this baby out with every map I can get my hands on! No issues at all.Some forums may have you believe there is a 4GB limitationbut there simply isnt (FAT32 - which is the format of the cardhas a 4GB limit on FILE SIZEbut thats fine as all individual Garmin maps are under 4GB)","04-07-2014","macman","MIXED","0.7321875691413879","0.03376394137740135","0.00606989162042737","0.22797857224941254","Works great in my Garmin!","2","1396828800"
"0","F007WTAJTQ","5","A3FN7QLQ6ZI1E","Worth the $30 I spent here then buying it at the store for $65.  Use it for the Galaxy note 10.1 and the Galaxy Note 2!","02-09-2013","madapaka26","POSITIVE","0.0017067731823772192","0.008407135494053364","0.010466072708368301","0.979420006275177","Perfect","0","1360368000"
"0","F007WTAJTQ","5","A1K4SMWERIHTAS","The San Disk Ultra 64 GB Micro memory card works really well. The card is tinybut the card comes with an adapter. I use it for the GoPro.","27-01-2013","Macdonald Cory","POSITIVE","0.02437767945230007","9.04674016055651e-05","0.0017716686706990004","0.973760187625885","The SanDisk Ultra 64 GB micro","0","1359244800"
"0","C007WTAJTP","5","A1RMOES5FGRF00","I got this for my Samsung Galaxy S5 and could not be happier. Its fast enough with the still and video camera on the phone.I have had no problems transferring files of all types from my pc or tablets. At this price it is a great buy.","05-03-2014","Zabeatta Zabeatta","POSITIVE","1.4074994396651164e-05","3.8247690099524334e-05","0.00011798748164437711","0.9998296499252319","Great for the Galaxy S5","0","1399075200"
"0","C007WTAJTP","5","AVL03EBQWSS0L","fastused it on my dji phantom gopro hd blacknot one hickup.i would buy again only cheaper. you get whacha pay for","04-09-2014","raaaaaa","POSITIVE","0.004786105360835791","0.014001777395606041","0.0024318937212228775","0.9787801504135132","i would buy again only cheaper","0","1397001600"
"0","D007WTAJTR","5","A3O98SUFE5X5TO","After I ordered my GoPro Hero 3 Black  I started searching for a good MicroSD card and everywhere I looked they wanted like $80for a 64GB  and digging around on eBay gets retarded at times  then by chance I found this one for $55 TTD  and the performance is awesomeI tell you all if you are in the market for a GoPro Hero3 Black  get this card to go with it  you wont be sorry....","14-06-2013","Fader","POSITIVE","0.11625075340270996","0.027524197474122047","0.011903728358447552","0.8443213701248169","Powered By SanDisk","0","1371168000"
"0","C007WTAJTP","5","A3LIFZB4RC49DE","I picked up this storage device to use in my phone. I only had a 1 gig mini sd in there for music ad it was getting pretty full. Now 30 plus gigs of free space later i can download to my hearts content.","19-09-2013","Quinton W. Shelby","POSITIVE","0.010154176503419876","0.08326566219329834","0.019549023360013962","0.8870311379432678","Great price","0","1379548800"
"0","E007WTAJTS","5","A5E3CV8KRR8HP","I bought this for use with my gopro hero 3 silver and I have had no complaints. trhgtr thth h r","10-08-2013","ian","POSITIVE","0.002653307281434536","0.001200817059725523","0.030874688178300858","0.9652711749076843","gopro hero 3","0","1381190400"
"0","E007WTAJTS","3","A2WB2KKS7MXTCW","This card does exactly what it should.  Class-10 performance at a fair price in a MicroSD format.  It should be faster thoughand in fact there are options out there now at a nominally higher price that doincluding the &#34;extreme&#34; versions from the same vendor.","08-03-2013","g0estoeleven","POSITIVE","0.031958479434251785","0.001845556078478694","0.0030609837267547846","0.9631349444389343","Good value for its class but no speed demon","0","1375488000"
"0","D007WTAJTR","4","AP7ELOKYSDI7B","It worked for a GoPro so what more to say except I wonder how they can fit 64 gigs on such a small chip. Amazing.","20-10-2013","Yachtwork","MIXED","0.8814476132392883","0.003915822599083185","0.0010226252488791943","0.11361400783061981","It worked","0","1382227200"
"0","D007WTAJTR","5","A2H4YBXW0WRAGA","I dont knowbut its a bunch. This card works great in my Nook HDno problems installing or using it.","01-06-2014","Dale","POSITIVE","5.879275704501197e-05","7.658550021005794e-05","0.0007706944015808403","0.9990938901901245","How many adapters do I havenow?","0","1388966400"
"0","B007WTAJTO","5","AKJ56RT9I924I","You buy a several-hundred-dollars-worth product and then you add up a cheap SD card? What a shame! Go for a Class 10 SanDisk card!! They are very fast and reliable. I use it with my Lumix camera and my brothers just bought it for his Galaxy S4 mini...","24-12-2013","Macintosh_br","MIXED","0.9136878252029419","0.029040688648819923","0.000813411723356694","0.05645813047885895","Great for Android smartphonescamerasetc","0","1387843200"
"2","B007WTAJTO","5","A1KN5OQGRNENU0"," ","21-08-2012","Alexander Stevens","NEUTRAL","0.10072709619998932","0.015407191589474678","0.8772569298744202","0.006608841475099325","Great Card With Great Price","3","1345507200"
"0","D007WTAJTR","4","A2YZCDQIAZIX1Q","Works well. No problems after using it for a number of months. Ive always found the SanDisk memory cards to be reliable.","24-08-2013","Dale DaleDJ","POSITIVE","0.003199431812390685","0.0001574572961544618","0.00046666894922964275","0.9961763620376587","Fast","0","1377302400"
"0","D007WTAJTR","5","A10B2J2IRQXBWA","super addition to my tablet it gives me the space need for my music. I am very satisfied with quality as well as price.","11-12-2013","walter goodwyn","POSITIVE","2.948811925307382e-05","3.2780626497697085e-05","6.235596083570272e-05","0.9998753070831299","my music saver","0","1384214400"
"0","C007WTAJTP","5","AK821DBWBPF5Y","Works as advertised. This is better for using with the newer products. I have noticed a increase in speed with my Note 2 and Note 8 when compared with previous version of SanDisk micro SD.","21-04-2014","Sadiq Shah Mohamad","POSITIVE","0.001404937356710434","0.0016062677605077624","0.00037638269714079797","0.9966123700141907","Great product","0","1398038400"
"0","E007WTAJTS","4","A9X0UM3Q1WAMT","i bought this sandisk ultra 32 gb micro SDHC memory card for my go pro hero white editionis really good anD works perfeclytry ityou wont regret!!","16-09-2013","KARINA BLOCK","POSITIVE","7.613919297000393e-05","0.00017956242663785815","0.0014842338860034943","0.9982600808143616","works perfect","0","1379289600"
"0","F007WTAJTQ","5","A1R0LNM873ALSV","Great card with fast write times. Excellent for use in DSLR or Gopro camera. I have used it to save both photos and movies.","30-11-2013","MacInTX","POSITIVE","4.489529601414688e-05","1.4255448149924632e-05","0.00028065050719305873","0.9996601343154907","Fastdependable memory card for digital cameras.","0","1385769600"
"0","C007WTAJTP","5","A2XZM6IEU8R4UH","Easy installationimmediate functionalitygreat way to expand my phones photo storage capacity. I am very pleased with this purchase ","04-07-2014","yo","POSITIVE","1.2635274288186338e-05","3.555990042514168e-05","0.00014131315401755273","0.999810516834259","Great addition to my Samsung Note II phone","0","1396828800"
"0","B007WTAJTO","5","A3QV698W7K3DMX","the micro card was a snap to insert into my tablet and now i have the extra storage should i ever need it.  i use sandisk cards on all my cameras also cause theyre quality productsand i got this one for a great price too.","06-01-2014","u e chapa","POSITIVE","0.00010327736526960507","0.00025837853900156915","0.0009052769746631384","0.9987331032752991","tiny but sweet!","0","1401580800"
"0","D007WTAJTR","2","AWNYBOENG7FJA","I bought two as a back up for my Gopro Hero 3.One from Amazon the other was a gift from BB.Both did not work in my camerasthinking it was Gopros new update.Kept getting a SDERRI returned other and it worked with no problem.NOTE to allthere are boot-legged products out there It is hard todetect. But of all the Items Ive received from Amazon/Prime and beyondHave been great. I just got stuck with a bad batch.GoPro recommends HX HC XC and extreme micro cards.","16-01-2014","wayne","MIXED","0.7964515686035156","0.1549665331840515","0.0010450159898027778","0.04753680154681206","Was it me or my camera","0","1389830400"
"0","B007WTAJTO","5","A1OATGH4DF0RF0","Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) ratingthe highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantlythanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoothermore fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videosMP3sappsand other memory-intensive mobile files. Available in sizes up to 64GBit can store all the appsmusicand video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily viewaccessand backup all of your digital files from your phones memoryadditional memory cardand cloud service all in one convenient place. Using the appyou can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproofwaterproofand X-ray-proof design. Your mobile device may not survivebut your SanDisk memory card will.","07-04-2013","Aaron F. Virginie","POSITIVE","0.00046287913573905826","7.448998076142743e-05","0.3960631489753723","0.6033994555473328","Get Fast Load Times","1","1372896000"
"0","D007WTAJTR","5","A1IIFU05LM2VK8","Been using this card in my Nokia Lumia 820 for over a year now. It gives decent speed and works good. No issues at all.","25-03-2014","Vatsal Agarwal","POSITIVE","0.0002696510637179017","9.805282024899498e-05","0.0009844870073720813","0.9986477494239807","Good product","0","1395705600"
"0","C007WTAJTP","5","A3DRTVU4CMKYAZ","The class is how fast the memory is read.  This is a fast card.  There are faster out therebut they are far more expensiveand not worth that expensein my opinion.  Does everything perfectly and in a compact package.  SanDisk is a brand nameand trusted by me.  Worth the extra bucksince Ive used SanDisk since they made 8MB CF cards&#8230;how far we have come&#8230;","17-12-2013","Said Name Nope","POSITIVE","0.0005389018915593624","0.00011550399358384311","0.00014859988004900515","0.9991969466209412","Love itespecially for the price","0","1387238400"
"0","D007WTAJTR","5","A2CBOTHF2PZW9M","I bought it for just 23 USDit is very fast and reliablesimply the best option for a 10 class micro SD of 32GB.UPDATE:11-08-2013Dont buy it for using it on a Samsung Galaxy S3theres seem to be an issue between the phone an this particular reference that makes that after a while the MicroSD card lost its data and get nonfunctional. I cant be repair after thatso it gets totally useless. You can tell the card is going to fail before its too late because constantly the phone shows a notification indicating that the card was ejected and it needs to be mounted again. When this happens I strongly recommend you to backup your data and change the MicroSD card of your phone and use it in other device before it gets corrupted.","15-12-2012","Xavier H.","NEGATIVE","0.1949605941772461","0.7851666212081909","0.0036756242625415325","0.016197165474295616","Ultra fastreliable and cheap 5/5","0","1355529600"
"0","E007WTAJTS","4","A3QMZJARX8M858","These cards worked flawlessly with the GoPro Hero 3+. Instead of opting for the bigger cardI got two smaller cards to start with. That way I could transfer data to my laptop while still using the other card. If youre wanting to do an un-assistedlarge recordlike a time-lapseor somethingopting for the bigger card is smartbut for my usage being able to swap back and forth was invaluable.So farno hiccups or problemseven with the fastermore beefy shooting settings.","30-10-2013","Jack Tailor Jack Tailor","POSITIVE","0.029460590332746506","0.002020539017394185","0.0011376386974006891","0.9673812985420227","Good addition to GoPro gig bag","0","1383091200"
