ReviewID,ProductID,reviewerName,helpful,ReviewText,Rating,summary,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
A1KN5OQGRNENU0,B007WTAJTO,Alexander Stevens,"[2, 3]",,5,Great Card With Great Price,1345507200,21-08-2012,839,2,3
A2315F2F0V99I0,B007WTAJTO,babygorilla,"[0, 0]",Used in my gopro. it holds a massive amount of video. No problems with it. It does what it is supposed to.,5,It's a memory card,1388880000,01-05-2014,221,0,0
A3P44R23V3GEC1,B007WTAJTO,backpacker15,"[0, 0]",Works great in GoPro Hero 3+. Super fast and gives plenty of storage capacity to video every outdoor activity I need.,5,For GoPro,1394409600,03-10-2014,66,0,0
A1N93W09O5GBFS,B007WTAJTO,Baddley,"[0, 0]","Works great! Perfect price,I'm using mine for my digital camera, and my DJI Phantom FC40.The chip holds tons of data and is exactly what I needed!Highly recommend for anyone needing both micro and standard SD. It's great to have the ability to plug and play to get the data!Buy it, Buy it! BUY IT!For the money I should have got the 64GB card.I will be buying more.",5,Just as described!,1395532800,23-03-2014,260,0,0
A3PSG14OAK2A5F,B007WTAJTO,"Badotz ""Badotz""","[0, 0]","My Android tablet is a toy; there is nothing crucial on it. I plan on downloading maps for travel, and need more storage.I rooted my tablet, changed two lines in a control file, and now it sees the external card as the internal card (and vice versa). When I save apps and/or data to the SD card, everything goes to the 32GB SanDisk Ultra MicroSDHC card instead of the puny internal store! Woo-hoo!DISCLAIMER: Rooting a device usually voids its warranty. I am not condoning such action, nor am I responsible for the results of such action. The responsibility is yours.The tiny card fit into the tiny slot on my 9&#34;-screened tablet, and is invisible once installed. But we both know it's there! I couldn't be happier, and until that changes, this is my endorsement of the SDHC card.",5,My Android tablet is all growed up!,1403049600,18-06-2014,173,0,0
A1X45V1N1KGBPC,B007WTAJTO,BAGHDADI215,"[0, 0]","great deal fast data good price . you can use it for any thing . you dont need card reader , it comes with one already",5,fast data good deal,1371081600,13-06-2013,543,0,0
AEYRG1UYCL2DP,C007WTAJTP,BaltimoreDC,"[0, 0]",Works just fine.  Came with an adapter for a standard size card slot.  Installed in a Samsung Mini Tab 2.,5,Works Fine,1384214400,11-12-2013,362,0,0
AR56FH89ICWT9,C007WTAJTP,Bambi Price,"[0, 0]",I got a few of these for tablets and phones and they have been fine. I loaded them with movies for a trip and they playback was perfect. I used one in a camera for video and it was plenty fast enough for the clips I was taking.,5,Works great,1388275200,29-12-2013,344,0,0
A27L7AGGGEUASX,C007WTAJTP,bandana,"[0, 0]","buy this one. it was inserted in my galaxy note 2, and also my asus transformer infinity. i bought 2 of these cards. i will buy it again if i need to. its easy to install, just pop it in and your device reads it. it's that simple!",5,storage,1367971200,05-08-2013,490,0,0
A1LXUHHDV1QBHT,C007WTAJTP,Barbara,"[0, 0]","stored over 2000 pics in good quality and were transferred to laptop from tablet, very happy with San Disk Ultra",5,great quality,1391731200,02-07-2014,159,0,0
AIY63PF337QF4,C007WTAJTP,Barbara M.,"[0, 0]","Just the right size for my knitting and crafting patterns, lets me take them anywhere I go and helps when buying yarn and fabric because all the info I need is on my Nook.",5,Perfect,1389571200,13-01-2014,329,0,0
AU0QTPK0WHV0B,C007WTAJTP,cable guy,"[0, 0]",The only thing is if you use this product on Andiod you must format .  Windows machines don't seem to supot FAT32  .  winwods machines will open files but the format program on Win only formats NTFS and EXFAT  which is limting because Andriod uses FAT32.,4,SD memory card,1378684800,09-09-2013,455,0,0
A6BJWBPA4P2S4,C007WTAJTP,CaffeinatedCajun,"[0, 0]","Perfect card.  I have it in my Samsung Galaxy S4 and its fast.  no delay in pictures/video writing, and I think I may get a second just to keep on hand.",5,Quick read/write speeds,1370476800,06-06-2013,550,0,0
A35N0PR2D2QFK7,C007WTAJTP,C A,"[0, 0]","32 GB Micro SD chip. If this is the size and memory amount you desire, this memory card has never failed or had errors on me. 5 stars for that and being the cheapest I could get at the time.",5,As advertised,1399507200,05-08-2014,125,0,0
A1GWL4XS2ZXGG8,C007WTAJTP,Calenture,"[0, 0]","Fast little memory card. Affordable, good quality. Will be quadrupling my storage space on my device. I never seem to have enough of these",5,speedy card,1385164800,23-11-2013,380,0,0
A1050XS5BK823I,C007WTAJTP,Cal,"[0, 0]",Used this in my S4 and in my new S5. Transfer speed is good and it is still performing well after almost a year. I haven't been disappointed with a SanDisk product yet.,5,Works great,1403568000,24-06-2014,167,0,0
A3MXAF2K5ESX6F,C007WTAJTP,Callsit Likeiseesit,"[0, 0]","I used this upgraded card in my Razr Maxx HD and have been nothing but pleased with it. I haven't even come close to filling the entire card. I got it mostly because I keep my entire music library on my phone, about 5 gigs of music. It's a class 10 card so you won't see any lag in pulling up files. Great card for the price.",5,Great buy,1363132800,13-03-2013,635,0,0
A1TRU7O0PSSSP7,C007WTAJTP,Calvin,"[0, 0]","Overall, a great purchase with a reasonable price. I have bought 4 units and all working well in various devices",5,Great performance with great price,1398556800,27-04-2014,225,0,0
A2T9MXX6DNMLC9,C007WTAJTP,Cameljok,"[1, 1]",This card is one of the fastest SD cards on the market. It works great for your Samsung Galaxy Note II. No issues with installation or device recognition. Highly recommended.,5,Great MicroSD card for Samsung Galaxy Note II,1371859200,22-06-2013,534,1,1
AN44DL2BPQXEG,C007WTAJTP,Cameron Guernsey,"[0, 0]","I bought this for my Dell Venue Pro 8 64 GB so that it would boost the Memory to 128 GB.  It is super easy to use, great shipping and I got it very quickly.",5,Great Price! Great Product!,1388188800,28-12-2013,345,0,0
A1G6LD5VL0LE23,C007WTAJTP,Cam,"[1, 1]",Got this for my Samsung Galaxy Note 3. Recognized it immediately. Seems to work fast for the pics and videos I've taken. No complaints. The price on these things fluctuates quite a lot. I would recommend to use a price tracker (camel camel camel) on this before purchasing or at least pay attention to the price a couple of days of purchase. The price had dropped by fifteen dollars after it shipped. Amazon's awesome customer service refunded the difference without any trouble. Thanks!,5,Great Product. Price Fluctuation.,1385769600,30-11-2013,373,1,1
A1YDWLO2FPOUEC,C007WTAJTP,D3TH5150,"[0, 0]","I got this not for the space but the speed.  Class 4 is ok, but class 10 is where its at.  Copying files, scanning the card, cleaning caches, writing files, this thing grinds threw it all like nothing.  Before it would take 2 minutes upon boot of my phone for my old class 4 32GB micro sd card would be done scanning.  With this its 7 seconds.",5,Fast,1397433600,14-04-2014,238,0,0
A1TL1P030KYGAD,C007WTAJTP,Dagmar Miura,"[0, 0]","From what I've read, some Galaxy users have had problems with MicroSD cards, but this one works great so far; lots of apps are willing to store their data on it, and Samsung's built-in camera is able to put its photos there instead of in the system memory, so it helps free up a lot of space for apps and things that have to be in the system memory. I've put all my MP3s on the card as well and they play back perfectly using both the Samsung music app and Google Music.",5,works perfectly with Galaxy S4,1376524800,15-08-2013,480,0,0
AAAY6675HRFSV,C007WTAJTP,Dagnasty,"[0, 0]","Never had a failure with SanDisk like other mfgrs.  I use this in my smartphone, comes with an SDHC adapter.  When smartphone makers stop including a micro-sd slot, I'll simply use this in my camera or laptop.",5,"super fast, super reliable",1365638400,04-11-2013,399,0,0
A1THCY79HLXT2O,C007WTAJTP,DaiLon,"[0, 0]","Before doing research, i assumed this card would support my brand new Hero 3 camera... considering it was sold off the Gopro site, it was a no brainer... or so i thought.Anyhow, the card seems to preform well under most circumstances WITHOUT using the Protunes settings. (The problems with the Hero 3 where due to the slow write speed of this card under Protunes settings, without this setting the Hero works fine)However, after a few timelapse issues (2 - 5 sec timelapse, which is well in this card's speeds).I noticed the card is corrupt. I tested this in other cameras and found that this problem still persists. I trust Sandisk as my top choice for all my professional work, however this card has failed!I would not recommend this EXPENSIVE card, id jump for a Samsung, or even the Transcend cards. They even come with a better warranty then this card.Nothing but problems and lost memories that i cant replace....",2,Bought this for my Gopro Hero 3,1376870400,19-08-2013,476,0,0
A3FAU9ZSH79DA3,C007WTAJTP,Dai N. Tran,"[0, 0]","It is reliable sd card. I always used this brand for all of my camera, my smartphone and tablet.Fyi",5,useful products,1401321600,29-05-2014,193,0,0
A3AOB0VF6H0IF4,D007WTAJTR,Daits,"[0, 0]","Item arrived in time as promised. Works well with a galaxy note 10.1. There is nothing more to say about this product as it has been reviewed so many times. It works well, not a bad price at the time of ordering ( now it has come down ). Yes, you get the same card for lesser price from other sellers but I trust amazon for their customer service issues. I prefer to pay 2 bucks more and get it from amazon rather than getting it from unfamiliar sellers.",5,Good Buy,1377734400,29-08-2013,466,0,0
ANKW9L1GU0HTB,D007WTAJTR,"Dale Basemann ""linkinlogin""","[0, 0]","I had no problems transferring stuff over to it including 30 GB of songs.  It was much faster than offbrand.  I got this in 12/2012.update: 8/2013:  I got my wife a new samsung galaxy S4.  Her old phone would only do 720p video and didn't have a nice camera.  My wife is really into her photo's, so I was concerned it wouldn't keep up with the fancier camera.  After loading my now 33 GB of songs I got even more concerned in wouldn't keep up with the fancy new camera.  I bought one of the sandisk 64 GB extreme cards and was amazed at speed difference copying songs.  Due to prior problems with generic cards, I'll only buy sandisk in future.Nothing was wrong with the ultra card, it just didn't seem up to par to fully take advantage of the latest/greatest phone technology.  She's going to carry the old card in purse in case she fills first one.",5,Worked great for my wife's Droid 3,1371600000,19-06-2013,537,0,0
A2YZCDQIAZIX1Q,D007WTAJTR,"Dale ""DaleDJ""","[0, 0]",Works well. No problems after using it for a number of months. I've always found the SanDisk memory cards to be reliable.,4,Fast,1377302400,24-08-2013,471,0,0
A2H4YBXW0WRAGA,D007WTAJTR,Dale,"[0, 0]","I don't know, but it's a bunch. This card works great in my Nook HD, no problems installing or using it.",5,"How many adapters do I have, now?",1388966400,01-06-2014,190,0,0
A259A4DBGL23F3,D007WTAJTR,EAC,"[0, 0]","I bought this for my Samsung Note 3 so I could store my entire music library on my phone. All I had to do was pop the cover, and put it in the microSD slot, and it worked perfectly! My phone now has 96GB of storage. Take that iPhone!",5,I am still amazed at how much this thing can store!,1399680000,05-10-2014,64,0,0
A3IE2ASHXTLBMA,D007WTAJTR,eagle,"[0, 0]","I've got a number of SanDisk brand products.  None has ever failed me over the 10+ years I've used them.  That's saying something these days in electronics.This card is performing well, and keeping up with the data storage devices I am using it for (one video recorder, one scanner).  Somehow, I would expect nothing less, but then again it is good to know that quality is consistent.",5,Good speed; good quality,1390176000,20-01-2014,322,0,0
AA95DWUI3ODU,D007WTAJTR,E.Barroso,"[0, 0]",Works very well with my new Tab Pro 8.4&#34;.  Have been able to download lots of content from YouTube to watch on long flights. Will use it on any device that takes sd cards.  Very happy with it.,5,Excellent.,1400976000,25-05-2014,197,0,0
A38XFBDC2Q1FRV,D007WTAJTR,eblak3,"[0, 0]","Besides blowing my mind that 32GB of data can fit on a chip this small (and also, magnets...how do they work??), there is nothing particularly special about this product. It works as intended, and it's cheap. SanDisk and Kingston are my go-to's for all things data-storage.",5,It holds data,1398297600,24-04-2014,228,0,0
A2XDQVO4FLVE2X,D007WTAJTR,"ecc ""book pirate""","[0, 0]","It is exactly what it is advertised to be. Shipped fast, and I love the converter that comes with it so I can plug it into my computer.",4,Good product,1389398400,01-11-2014,37,0,0
A26SQ0G735KJK8,D007WTAJTR,Eckzsell,"[0, 0]","I big problem I have been having lately is finding a trustworthy source for SD cards. They are manufactured in China and these rip off companies are selling fake cards at a competitive price, but don't be fooled. If the price seems unbelievable that is because you will end up with a card that is not only less capacity then you are paying for, but a lower class and sometimes a faulty card altogether.When it comes to storage, pay the extra cash to get something reliable. Like this SanDisk Ultra 64 GB SDXC Class 10 memory card. It is blazaing fast and works well in my HTC EVO LTE Android phone.Side note: This card brings my total phone storage capacity to 158 GB. That is 158 GB that I have full access to. 85 GB of which is synced to the cloud.",5,True to class,1362787200,03-09-2013,461,0,0
AP3QKHMMEU50I,D007WTAJTR,EcologicoNYC,"[0, 0]","I bought this for my Galaxy S4 to expand the memory capacity a bit more. It works as it is intended to do, fast transfer rate, no problems so far.",4,"It's a memory card, what more can you say?",1372291200,27-06-2013,529,0,0
A1DZTBGEHOS6DO,D007WTAJTR,ECorganist,"[0, 0]","I got this to expand the memory storage in my Samsung Galaxy Note 10.1. The tablet and paperwork claim to support up to 32GB, but other reviews for these cards and the Note 10.1 said that a 64GB worked just fine. And work just fine it does.I store mostly music on here, as I've got over 22GB worth of music, which would have taken up most of the 32GB built in to the tablet. I also use my tablet for sheet music, so I needed to have the capability to have all that on there, too. So this was my best solution, and so far it's worked wonderfully.And, on top of that, it came with a MicroSD card to SD card adapter, making file transfers even easier. Overall, I would highly, highly recommend this product!",5,Excellent solution,1376006400,08-09-2013,456,0,0
A2CWL2DC8BW6G4,D007WTAJTR,Ed Brunell,"[0, 0]",Work perfectly in my camera. Reads and writes fast.,5,Great buy,1405123200,07-12-2014,1,0,0
AI43VKPN5NF7D,D007WTAJTR,"Edd Anderson ""ezduzed""","[0, 0]","I have several devices that use micro cards, so I buy these in anticipation of needs in the future. So I am not going to test this to see if it works when I get this. Most items I buy at a good price. Now if I am loading up cameras and recording gear for a trip or maybe a day at Le Mans. I will check them before I travel, as I check batteries and spares and chargers.So far I have not had a problem with SanDisk, I am gearing up for a trip, my destination is a bit in question at this point.",4,SanDisk is a name I trust,1382572800,24-10-2013,410,0,0
A2TYRZC2C51E2W,D007WTAJTR,Fade,"[0, 0]","I have no issues with this card. It works great and now I have a ton of storage space for music and what not. Bit overkill, but that's how I like it.",5,Works great with Samsung Galaxy Note 2,1359244800,27-01-2013,680,0,0
A3O98SUFE5X5TO,D007WTAJTR,Fader,"[0, 0]",After I ordered my GoPro Hero 3 Black  I started searching for a good MicroSD card and everywhere I looked they wanted like $80for a 64GB  and digging around on eBay get's retarded at times  then by chance I found this one for $55 TTD  and the performance is awesomeI tell you all if you are in the market for a GoPro Hero3 Black  get this card to go with it  you wont be sorry....,5,Powered By SanDisk,1371168000,14-06-2013,542,0,0
A3V7JQUU5J1GRS,D007WTAJTR,Failtelorn,"[0, 0]",Using this with my mini MP3 player and plinking songs onto it worked flawlessly.  Now my 4gb player is a 20gb player.,5,Exactly as advertised,1387411200,19-12-2013,354,0,0
ATQGK76WK9JJ6,D007WTAJTR,Faisal,"[0, 0]",I used it with my Gopro and it recorded amazing 1080p videos and long time lapses. No issues with freezing or corrupting HD videos.,5,Great memory,1402272000,06-09-2014,93,0,0
A3NKYCPMP07994,D007WTAJTR,Faisal,"[0, 0]",I used this on my dashcam that records 720p continuous for 12 hours without fail. Also used this on my Zoom H1.,5,Works and still working,1400457600,19-05-2014,203,0,0
A3QF87EWX0K9MR,D007WTAJTR,Fake Name,"[0, 0]",I use this with my GoPro 3+ Black. It works well. It'd be nice if it came with a little USB 3.0 reader like some other brands.,4,It's tiny and holds a lot,1391040000,30-01-2014,312,0,0
A3K5MFM3J8R8UD,D007WTAJTR,"fantasyphile ""fantasyphile""","[0, 0]",It is a memory card. It works and gets the job done. Hasn't failed on me yet *knock on wood*,4,Works,1372118400,25-06-2013,531,0,0
A2MDYGR9DM85LJ,D007WTAJTR,Faris,"[0, 2]",sandisk is  the best and I trust them cause the take care of the quality and the packing was great,5,Fantastic,1380758400,10-03-2013,638,0,2
A35ZLKM1A86J68,D007WTAJTR,FastEarle,"[0, 0]",Works exactly as it should.  No issues in the Samsung Galaxy s5.  Have not noticed any speed issues as well and I use it plenty for movies.,5,Would recommend! No issues at all!,1400976000,25-05-2014,197,0,0
AVKDNIKIX452Y,D007WTAJTR,FawnM,"[0, 0]",I wish I could install one of these in my head.  But I will have to settle for installing it in my brain.  The increased memory for my tablet has been great allowing me to use it for many things.,5,More Memory,1378252800,09-04-2013,608,0,0
A2WB2KKS7MXTCW,E007WTAJTS,g0estoeleven,"[0, 0]","This card does exactly what it should.  Class-10 performance at a fair price in a MicroSD format.  It should be faster though, and in fact there are options out there now at a nominally higher price that do, including the &#34;extreme&#34; versions from the same vendor.",3,Good value for its class but no speed demon,1375488000,08-03-2013,640,0,0
A3T0DDOQYML4N5,E007WTAJTS,G0Horns!,"[0, 0]",Its amazing the amount of storage we are putting in micro chips these days.  I use this for my dive camera taking videos and pictures.  The chip hasn't let me down yet and no errors.,4,So far so good,1369612800,27-05-2013,560,0,0
A2OBSXOTTH3XPD,E007WTAJTS,G68,"[0, 0]","awesome! Worked well with the Surface 2 tablet.I later return the Surface 2 tablet , since it didn't seem like that I needed it but I made sure to take out the memory card :)Never had any issues with it though when I had it.",5,No issues - Good micro,1396915200,04-08-2014,126,0,0
A1N5UN0DUW3P42,E007WTAJTS,G. Abbott,"[0, 0]","I use this in my Samsung Galaxy S5 to store my photos, videos, and other data. Stores and retrieves quickly and greatly expands the capacity of my phone.",5,Works great,1403568000,24-06-2014,167,0,0
A1LKN9HYJ7561R,E007WTAJTS,Gabby Ybanez,"[0, 0]","this is probably the Nth memory card I've bought from sandisk, and so far I'm still very happy. r/w speeds are decent and none have given me any troubles.",5,always been happy with sandisk,1357776000,01-10-2013,433,0,0
ATUPETKG5KNZT,E007WTAJTS,Gabriel,"[0, 0]","The item arrive in time, but was unfortunately defective as it would not accept a copy operation. Further investigation led to discovering the card had bad sectors. Refund is progressing without a hitch however, so not all was lost.",2,"Bad luck, received faulty card.",1349740800,10-09-2012,819,0,0
A3SCHDQPNM5E7R,E007WTAJTS,Gabriel,"[0, 0]",Works great on my Galaxy S3.  I have not had any issues with it in about a year of ownership.,5,Good uSD card.,1385856000,12-01-2013,695,0,0
A2MD1579QXSDDO,E007WTAJTS,Gabriel M. Metallo,"[0, 0]","The only thing better doesn't exist yet, just be sure to get the U1 marked model as others are slower bins.",5,64 GB The size of a nail,1369699200,28-05-2013,559,0,0
AAKMPJXPX22Y4,E007WTAJTS,Gaby,"[0, 0]",Works Ultra great. No complaints. I got the retail package.,5,Ultimately Ultra,1404691200,07-07-2014,154,0,0
A22NETHJ4KTWJP,E007WTAJTS,gadgetGirl,"[0, 0]","My computer couldn't tell the difference, or at least not noticeable to me. I needed the extra space. Thanks for having a great product with a great price!",5,Works like a charm!,1367280000,30-04-2013,587,0,0
A1FCMWIRX04X5B,E007WTAJTS,"gadgetjunki ""gadgetjunki""","[1, 1]","I trust these.  Got it long ago and it is still going strong.  Any large size storage needs to be reliable, If I buy the one or two gig cards I would just get the cheapest no name brand but for anything larger I get these.",5,Still going strong,1401494400,31-05-2014,191,1,1
A20H8QNUJZNFAN,E007WTAJTS,Habo,"[0, 0]",Amazing price for this micro SD.  Brings adapter with it.  Class 10.  Great product. I am very happy with this purchase.,5,Great product great pricing,1386547200,12-09-2013,452,0,0
ALG4MGOY96EW1,E007WTAJTS,H. A.,"[0, 0]","I got this for my new GoPro Hero3 Black edition and it has worked without a hitch.  Even in the highest setting I get over 2 hours of recording time, and the price per Gb was extremely reasonable.",5,Works well in GoPro,1360886400,15-02-2013,661,0,0
A1U0P86EWJYCMS,E007WTAJTS,Hakmin,"[0, 0]",My phone makes very high definition photos which makes a big size file. I do not transfer the files to the computer because I have plenty of space. Also it works faster than ever.,5,I strongly suggest to use it.,1397260800,04-12-2014,4,0,0
AE9W6U4NXLD0B,E007WTAJTS,"Hakudoushinumber9 ""Hakudoushi numbernine""","[0, 0]",when i got it it was broken so i had to send it back... they sent me a new one immediately. i am so happy  cause my phone's internal capacity is 2 gigs... that's not much... -_-,5,really good customer service!,1401753600,06-03-2014,277,0,0
